IDs         length   Exptl.  resolution  R-factor FreeRvalue
3RLSA       175      XRAY        1.700    0.16    0.20
2CFAA       217      XRAY        2.300    0.21    0.26
3PSHA       326      XRAY        1.500    0.30    0.32
5LW0A       231      XRAY        1.650    0.16    0.19
3F13A       163      XRAY        1.700    0.22    0.26
3M84A       350      XRAY        1.700    0.15    0.18
6FX6A       253      XRAY        2.250    0.20    0.25
4Q68A       240      XRAY        1.070    0.11    0.14
1VHNA       318      XRAY        1.590    0.19    0.23
4RFXA       141      XRAY        2.900    0.26    0.28
3E1IA        87      XRAY        2.300    0.22    0.24
4QTTB       208      XRAY        2.000    0.19    0.24
5WYGA       140      XRAY        2.360    0.19    0.22
3UAFA       117      XRAY        2.010    0.18    0.22
3BHPA        60      XRAY        2.010    0.23    0.26
3OEPA       494      XRAY        1.750    0.16    0.19
1OEYJ       107      XRAY        2.000    0.21    0.25
2OWNA       262      XRAY        2.000    0.21    0.24
1QG8A       255      XRAY        1.500    0.16    0.21
1F1EA       154      XRAY        1.370    0.17    0.21
2PU3A       211      XRAY        1.500    0.17    0.18
1D0DA        60      XRAY        1.620    0.19    0.21
3DD7A       135      XRAY        1.700    0.18    0.20
5Y3TC       187      XRAY        2.400    0.19    0.24
5I41B        69      XRAY        1.800    0.18    0.21
3FVZA       329      XRAY        2.350    0.21    0.26
4YFUA       580      XRAY        1.500    0.20    0.23
4PQDA       105      XRAY        1.330    0.17    0.19
4O9IX       202      XRAY        2.600    0.21    0.26
4S3OC       117      XRAY        2.000    0.20    0.24
3ME7A       170      XRAY        1.500    0.18    0.22
5YL9B        59      XRAY        1.860    0.18    0.21
2G3AA       152      XRAY        1.900    0.19    0.23
3TG2A       223      XRAY        1.100    0.13    0.14
3DO9A       188      XRAY        2.750    0.27    0.31
5XGCA       503      XRAY        2.100    0.22    0.25
5V6GA       171      XRAY        2.000    0.19    0.24
3C8GA       172      XRAY        2.500    0.21    0.27
4FBCA       282      XRAY        1.700    0.18    0.21
4PJ2C       122      XRAY        1.240    0.15    0.17
3OYVA       361      XRAY        1.250    0.13    0.16
4Z7KA       218      XRAY        3.000    0.23    0.28
3I2NA       357      XRAY        1.950    0.23    0.26
4PJWA       981      XRAY        2.850    0.21    0.23
1AX8A       146      XRAY        2.400    0.18    0.28
2Q97T       129      XRAY        2.500    0.23    0.28
5GL6A       181      XRAY        2.200    0.23    0.26
4Y9IA       114      XRAY        1.500    0.16    0.20
3LYWA        90      XRAY        1.900    0.22    0.26
2C0ZA       216      XRAY        1.600    0.15    0.20
2FYFA       398      XRAY        1.500    0.14    0.17
3UMOA       309      XRAY        1.700    0.18    0.21
4O8WA       125      XRAY        2.290    0.21    0.26
5LNDA       132      XRAY        1.460    0.18    0.19
1GHEA       177      XRAY        1.550    0.21    0.23
3L6BA       346      XRAY        1.500    0.16    0.18
3P24A       397      XRAY        1.800    0.17    0.20
3VC1A       312      XRAY        1.820    0.17    0.19
2J58A       359      XRAY        2.250    0.19    0.23
2IFUA       307      XRAY        2.600    0.24    0.26
2OQZA       223      XRAY        1.600    0.19    0.23
2Z8FA       412      XRAY        1.650    0.18    0.21
1VPQA       273      XRAY        2.200    0.21    0.26
4HFKB       105      XRAY        2.100    0.16    0.20
3GYGA       289      XRAY        2.450    0.21    0.28
4JP6A       122      XRAY        1.000    0.15    0.18
4S28A       576      XRAY        1.250    0.12    0.14
5O6HA       391      XRAY        1.290    0.17    0.19
3LYXA       124      XRAY        2.000    0.23    0.25
1JMUB       666      XRAY        2.800    0.22    0.24
1DYNA       125      XRAY        2.200    0.20    0.32
4J73A       301      XRAY        1.440    0.18    0.20
4WNDB        53      XRAY        1.500    0.16    0.18
4RBRA       139      XRAY        1.700    0.19    0.21
3OSTA       128      XRAY        1.690    0.15    0.19
1Y8AA       332      XRAY        1.400    0.18    0.22
5JUFA       310      XRAY        1.950    0.18    0.22
4NKPA       148      XRAY        1.240    0.13    0.15
3ZYPA       218      XRAY        1.500    0.19    0.22
3CKCA       527      XRAY        1.500    0.19    0.21
4AIKA       151      XRAY        1.850    0.20    0.23
3SHQA       320      XRAY        1.960    0.18    0.21
2F1FA       164      XRAY        1.750    0.17    0.23
5MU5A       666      XRAY        2.300    0.19    0.22
3LVKB        82      XRAY        2.440    0.21    0.25
3HJ7A       142      XRAY        2.200    0.22    0.25
4FXQA       460      XRAY        1.960    0.19    0.23
1YA5T        90      XRAY        2.440    0.23    0.27
3MBKA       264      XRAY        1.350    0.16    0.19
4U6UB       290      XRAY        3.000    0.19    0.23
5E3BA       181      XRAY        1.600    0.19    0.22
4GX8A       315      XRAY        1.700    0.21    0.25
3K8GA       262      XRAY        1.950    0.22    0.25
3LL5A       249      XRAY        1.990    0.20    0.24
3RJTA       216      XRAY        1.500    0.13    0.15
2WDSA       143      XRAY        1.350    0.18    0.20
1WTEA       272      XRAY        1.900    0.17    0.22
4ZAVA       209      XRAY        1.400    0.10    0.13
5JRHA       660      XRAY        1.640    0.17    0.21
4QICB        81      XRAY        2.050    0.19    0.22
4NCBA       685      XRAY        2.190    0.18    0.23
6DNVA       125      XRAY        1.600    0.17    0.20
5ERQA       419      XRAY        1.550    0.16    0.19
6EHBA       320      XRAY        1.550    0.17    0.20
3QXCA       242      XRAY        1.340    0.14    0.17
2HQ9A       149      XRAY        1.950    0.18    0.24
4ZL4A       444      XRAY        2.370    0.18    0.22
1JL1A       155      XRAY        1.300    0.22    0.26
3ACHA       203      XRAY        1.400    0.16    0.20
2YMOA       289      XRAY        1.900    0.24    0.29
2Z5HT        55      XRAY        2.890    0.24    0.25
1G5TA       196      XRAY        1.800    0.19    0.27
5XAUA       674      XRAY        1.800    0.20    0.24
4CD8A       320      XRAY        1.470    0.17    0.21
4NT1A       207      XRAY        1.800    0.18    0.21
4R4XA       546      XRAY        1.900    0.17    0.20
1GWEA       503      XRAY        0.880    0.09    0.10
1L1LA       739      XRAY        1.750    0.23    0.27
1TAFA        68      XRAY        2.000    0.20    0.24
3G0KA       148      XRAY        1.300    0.12    0.14
2P1MB       594      XRAY        1.800    0.19    0.23
4OLTA       248      XRAY        1.590    0.16    0.23
3H5LA       419      XRAY        1.700    0.16    0.18
5LY0A       131      XRAY        1.880    0.20    0.23
1VK9A       151      XRAY        2.700    0.21    0.25
3JZYA       510      XRAY        1.560    0.22    0.23
3KVHA       214      XRAY        1.700    0.18    0.22
4Q7OA       146      XRAY        1.450    0.15    0.19
5JW9A        64      XRAY        2.000    0.20    0.25
3GBWA       164      XRAY        1.320    0.16    0.19
2IUYA       342      XRAY        2.100    0.17    0.23
1WJXA       122      XRAY        1.700    0.22    0.23
3KZHA       328      XRAY        2.450    0.23    0.27
4CE8A       114      XRAY        0.900    0.13    0.14
3IACA       473      XRAY        2.220    0.15    0.18
1N13B       113      XRAY        1.400    0.20    0.21
4ZMHA       939      XRAY        1.930    0.14    0.17
1TGRA        52      XRAY        1.420    0.21    0.22
4B89A       249      XRAY        1.500    0.19    0.21
4AC1X       283      XRAY        1.300    0.18    0.20
2I8DA       123      XRAY        1.690    0.17    0.20
3RZAA       396      XRAY        2.100    0.17    0.21
5F47A       157      XRAY        1.500    0.16    0.18
4IGKA       214      XRAY        1.750    0.22    0.20
6GKVA       351      XRAY        2.350    0.20    0.27
4N0PA       151      XRAY        1.750    0.18    0.20
4NNOA       291      XRAY        1.170    0.15    0.16
4ZR1A       298      XRAY        2.600    0.20    0.24
1Z6NA       167      XRAY        1.500    0.19    0.22
5N81A       427      XRAY        1.600    0.18    0.20
5D50A       199      XRAY        2.490    0.20    0.21
3PN3A       193      XRAY        1.300    0.16    0.17
5UA5A       153      XRAY        2.500    0.25    0.27
6E68A       480      XRAY        1.500    0.16    0.17
4WBYA       410      XRAY        1.500    0.16    0.18
2J5GA       263      XRAY        1.460    0.15    0.18
3DYJA       332      XRAY        1.850    0.21    0.26
4N03A       405      XRAY        1.150    0.12    0.15
2XHFA       171      XRAY        1.300    0.15    0.18
1P65A        73      XRAY        2.600    0.21    0.27
2FQMA        75      XRAY        2.300    0.23    0.29
1PZWA        80      XRAY        2.000    0.24    0.27
2ZFDB       123      XRAY        1.200    0.18    0.19
3VIVA       230      XRAY        2.250    0.22    0.25
2X9QA       289      XRAY        2.020    0.18    0.21
3RK1A       237      XRAY        2.300    0.21    0.25
1WWZA       159      XRAY        1.750    0.21    0.24
3FLPA       217      XRAY        2.300    0.22    0.22
5EJYA       500      XRAY        1.900    0.20    0.23
4BSPA       126      XRAY        2.000    0.23    0.26
3F7EA       131      XRAY        1.230    0.17    0.19
4JWJA       202      XRAY        1.760    0.24    0.25
4XHCA       543      XRAY        2.700    0.18    0.20
5XECA        82      XRAY        1.100    0.18    0.20
1I24A       404      XRAY        1.200    0.19    0.20
3ESMA       152      XRAY        1.650    0.23    0.26
5YGHA        76      XRAY        1.880    0.21    0.23
3KXRA       205      XRAY        2.410    0.19    0.23
3EUSA        86      XRAY        1.800    0.20    0.25
2XZIA       386      XRAY        1.450    0.18    0.20
5CYVA       146      XRAY        1.520    0.16    0.20
3MCBB        58      XRAY        1.900    0.19    0.25
1K3SA       113      XRAY        1.900    0.22    0.27
3GSEA       458      XRAY        2.280    0.20    0.25
5JIPA       332      XRAY        1.800    0.15    0.18
5Z11A       128      XRAY        2.350    0.20    0.26
3OQQA       435      XRAY        2.080    0.16    0.20
4WTPA       298      XRAY        1.300    0.18    0.19
2FSQA       243      XRAY        1.400    0.16    0.20
4Z3TA       267      XRAY        1.620    0.20    0.23
2VDJA       301      XRAY        2.000    0.20    0.25
3V62C        69      XRAY        2.900    0.19    0.24
4Y7DA       302      XRAY        1.680    0.15    0.19
2PGNA       589      XRAY        1.200    0.15    0.18
3F5RA       191      XRAY        1.700    0.18    0.19
2QNIA       219      XRAY        1.800    0.20    0.22
3LYSA       112      XRAY        2.800    0.26    0.29
2CCVA       101      XRAY        1.300    0.14    0.18
2ATZA       180      XRAY        2.000    0.20    0.26
1NH2C        79      XRAY        1.900    0.20    0.23
1L8WA       348      XRAY        2.300    0.22    0.29
4Y1BA       425      XRAY        1.500    0.18    0.20
3M91B        44      XRAY        1.800    0.20    0.24
4J05A       530      XRAY        2.900    0.22    0.26
2AYDA        76      XRAY        1.600    0.18    0.20
4HS1A        85      XRAY        0.870    0.13    0.14
4EU0A       298      XRAY        1.700    0.23    0.27
5MU3A       189      XRAY        2.100    0.22    0.25
3NNBA       382      XRAY        1.600    0.14    0.17
5NGWA       389      XRAY        2.400    0.17    0.21
4XQAA       194      XRAY        1.410    0.14    0.17
5IJPA       201      XRAY        2.750    0.24    0.25
4Q25A       250      XRAY        2.280    0.21    0.23
3LVYA       207      XRAY        2.100    0.19    0.24
2HD9A       145      XRAY        1.350    0.23    0.23
6FDDA        85      XRAY        1.750    0.19    0.21
3P0KA       266      XRAY        1.470    0.21    0.23
4GXTA       385      XRAY        1.820    0.18    0.22
2QYAA       124      XRAY        2.170    0.24    0.29
5KTCA       188      XRAY        1.800    0.20    0.25
1UI5A       215      XRAY        2.400    0.22    0.29
3HRZB       252      XRAY        2.200    0.18    0.23
4U4RQ2      105      XRAY        2.800    0.21    0.25
3O4HA       582      XRAY        1.820    0.20    0.23
4MTUA       144      XRAY        0.970    0.15    0.16
1DJ7A       117      XRAY        1.600    0.26    0.28
4D6GA       599      XRAY        1.240    0.12    0.13
3AMIA       445      XRAY        2.400    0.20    0.27
3V3TA       360      XRAY        2.300    0.17    0.22
6EY1A       257      XRAY        1.200    0.12    0.14
4PHRA       277      XRAY        1.340    0.15    0.19
3OAMA       252      XRAY        1.750    0.20    0.23
5D16A       206      XRAY        1.760    0.20    0.22
6C34A       319      XRAY        2.200    0.18    0.23
2HNGA       127      XRAY        1.630    0.19    0.23
5TSCA       463      XRAY        2.010    0.17    0.21
3CKKA       235      XRAY        1.550    0.20    0.22
4GQ4A       489      XRAY        1.270    0.15    0.18
4U9OA       360      XRAY        1.600    0.18    0.20
3P4TA       403      XRAY        1.700    0.15    0.18
2J7QA       232      XRAY        1.800    0.16    0.21
4IKVA       507      XRAY        1.900    0.18    0.22
5J5LA       160      XRAY        1.700    0.17    0.19
3MXOA       202      XRAY        1.700    0.17    0.20
2GZSA       278      XRAY        1.400    0.17    0.19
4RGWA       638      XRAY        2.300    0.19    0.23
3CP7A       218      XRAY        1.390    0.18    0.20
5KO5A       287      XRAY        1.360    0.17    0.19
4UONA       158      XRAY        1.810    0.18    0.22
1NG0A       253      XRAY        2.700    0.28    1.00
3TBNA        87      XRAY        1.150    0.11    0.12
4QFLA       541      XRAY        1.750    0.16    0.18
5T86A       106      XRAY        2.000    0.18    0.23
1OSYA       115      XRAY        1.700    0.18    0.21
2DDRA       306      XRAY        1.400    0.21    0.23
3HLSA        66      XRAY        2.150    0.22    0.26
6GEIA       219      XRAY        1.650    0.23    0.25
2V1QA        60      XRAY        1.200    0.15    0.19
3ZZHA       307      XRAY        2.100    0.18    0.21
3HV2A       153      XRAY        1.500    0.16    0.19
3PDGA        98      XRAY        1.780    0.23    0.27
3AJ1A       167      XRAY        2.500    0.21    0.26
3BQZA       194      XRAY        2.170    0.23    0.25
6CR0A       440      XRAY        1.550    0.15    0.18
4D0UA       145      XRAY        1.600    0.16    0.19
2FGEA       995      XRAY        2.100    0.21    0.26
4GOQA       110      XRAY        1.870    0.18    0.21
2R39A       118      XRAY        2.020    0.20    0.24
3QRLA       140      XRAY        1.700    0.19    0.23
1ZE3H       122      XRAY        1.840    0.19    0.22
3CT9A       356      XRAY        2.310    0.20    0.25
3SO6A       137      XRAY        1.370    0.15    0.21
2OY9A        98      XRAY        1.600    0.21    0.22
6GG2A       497      XRAY        2.600    0.21    0.24
5C30A       201      XRAY        1.550    0.15    0.17
5N9MA       243      XRAY        1.850    0.15    0.19
2IHTA       573      XRAY        2.000    0.15    0.18
4LUKA       189      XRAY        1.410    0.15    0.21
5LS7A        41      XRAY        1.160    0.12    0.14
3FS8A       273      XRAY        1.700    0.18    0.24
2WW5A       468      XRAY        1.610    0.18    0.20
5O5SA       131      XRAY        1.170    0.15    0.18
1GU9A       177      XRAY        1.900    0.24    0.31
1VMHA       144      XRAY        1.310    0.16    0.18
3H6PC        96      XRAY        1.910    0.20    0.24
2Q28A       564      XRAY        1.740    0.18    0.20
5FF5A       381      XRAY        2.930    0.22    0.29
1RTTA       193      XRAY        1.280    0.21    0.23
3Q1TA       278      XRAY        2.350    0.19    0.23
3DALA       196      XRAY        1.650    0.20    0.22
3FF2A       117      XRAY        1.900    0.19    0.23
1W2WA       211      XRAY        1.750    0.17    0.20
4EQBA       330      XRAY        1.500    0.16    0.19
3OBLA       132      XRAY        1.200    0.14    0.17
2R9QA       370      XRAY        2.200    0.19    0.27
3OSEA       120      XRAY        1.700    0.18    0.20
3LLOA       143      XRAY        1.570    0.16    0.20
2ODIA       238      XRAY        1.450    0.17    0.20
5FORA       139      XRAY        2.500    0.19    0.24
4PWUA        98      XRAY        2.450    0.20    0.25
3H7IA       305      XRAY        1.500    0.18    0.21
4AF8A       367      XRAY        1.400    0.15    0.18
1REGX       122      XRAY        1.900    0.18    0.21
2P4OA       306      XRAY        1.900    0.17    0.22
4PI8A       228      XRAY        1.390    0.15    0.17
1JOGA       146      XRAY        2.400    0.21    0.28
3OV8A        95      XRAY        1.850    0.18    0.21
5EFVA       648      XRAY        2.200    0.17    0.21
2Y1BA       128      XRAY        2.000    0.20    0.26
5IT0A       396      XRAY        1.970    0.21    0.27
3R4IA       339      XRAY        2.240    0.15    0.17
2O1SA       621      XRAY        2.400    0.19    0.23
5A07A       434      XRAY        1.900    0.16    0.19
3N08A       153      XRAY        1.250    0.15    0.17
2X9ZA       262      XRAY        1.300    0.15    0.18
3IP4C       100      XRAY        1.900    0.20    0.21
1JG1A       235      XRAY        1.200    0.15    0.20
3OBHA        82      XRAY        1.890    0.20    0.24
4E17B        40      XRAY        2.300    0.22    0.24
3E3VA       177      XRAY        2.040    0.25    0.26
2BSQE        77      XRAY        3.000    0.21    0.27
1K8UA        90      XRAY        1.150    0.19    0.22
4WKSA       165      XRAY        1.630    0.16    0.19
3WRBA       418      XRAY        2.100    0.20    0.24
3CJYA       259      XRAY        1.700    0.17    0.20
1DMLA       319      XRAY        2.700    0.23    0.28
5H7KA       397      XRAY        1.600    0.17    0.20
1VKEA       133      XRAY        1.560    0.16    0.18
4Q5EA       174      XRAY        1.870    0.19    0.23
2WBNA       212      XRAY        1.900    0.20    0.23
4GNRA       353      XRAY        1.000    0.13    0.15
5V8CA       293      XRAY        2.510    0.22    0.27
5EDFA       244      XRAY        1.400    0.17    0.19
2PKEA       251      XRAY        1.810    0.18    0.23
3KVNA       632      XRAY        2.500    0.21    0.26
4A37A       388      XRAY        1.600    0.20    0.21
2UURA       245      XRAY        1.800    0.19    0.21
5ED9A        78      XRAY        2.010    0.21    0.26
4J1VA       184      XRAY        1.950    0.20    0.23
5W83A       338      XRAY        1.550    0.21    0.23
1XR4A       509      XRAY        2.370    0.19    0.23
4AKFA       577      XRAY        2.900    0.21    0.23
3RHTA       259      XRAY        1.830    0.16    0.19
3FBIB       130      XRAY        2.800    0.20    0.24
2ICSA       379      XRAY        2.300    0.20    0.24
2VY1A       194      XRAY        2.100    0.23    0.25
3E96A       316      XRAY        1.800    0.20    0.21
4MO1A       178      XRAY        2.100    0.22    0.25
4ZDTA        73      XRAY        2.000    0.22    0.24
1XBIA       120      XRAY        1.450    0.18    0.19
5FFPA       172      XRAY        2.500    0.19    0.20
1VDWA       254      XRAY        1.300    0.21    0.22
2C5LC       117      XRAY        1.900    0.19    0.23
5FMRA       280      XRAY        2.000    0.20    0.23
5MK2A       361      XRAY        1.700    0.17    0.20
5COWA       247      XRAY        1.600    0.17    0.19
4D8BA       261      XRAY        1.060    0.14    0.16
5OLRA       522      XRAY        1.070    0.15    0.17
3DSKA       495      XRAY        1.550    0.18    0.21
5TVOB        59      XRAY        1.480    0.16    0.20
4USRA       361      XRAY        1.830    0.16    0.20
1UFHA       180      XRAY        2.200    0.26    0.26
4H5SB       101      XRAY        1.700    0.17    0.21
2CWQA       137      XRAY        1.900    0.17    0.21
4PZ7A       403      XRAY        2.110    0.19    0.23
3E0ZA       109      XRAY        1.750    0.17    0.22
1Y0UA        96      XRAY        1.600    0.17    0.20
1BU8A       452      XRAY        1.800    0.20    0.24
5TL4A       475      XRAY        1.750    0.17    0.21
3FO8D       283      XRAY        1.800    0.21    0.22
5CU7A       426      XRAY        1.730    0.16    0.18
2W4YA       122      XRAY        2.900    0.28    1.00
5VITC        99      XRAY        2.200    0.19    0.23
4WPGA       289      XRAY        1.100    0.13    0.15
5TDEA       431      XRAY        1.700    0.16    0.18
5HKQA       143      XRAY        2.000    0.17    0.21
5FQ8G       212      XRAY        2.750    0.21    0.26
3LB2A       137      XRAY        1.060    0.17    0.18
5KYMA       247      XRAY        2.800    0.22    0.28
5HOCA        50      XRAY        1.360    0.23    0.25
3P9AA       162      XRAY        1.750    0.18    0.22
5X3TB       155      XRAY        2.650    0.21    0.24
5X1EC       102      XRAY        2.000    0.22    0.27
2V8FA       140      XRAY        1.100    0.15    0.17
4RSWA       255      XRAY        1.900    0.20    0.23
3DF8A       111      XRAY        1.650    0.17    0.21
2FXAA       207      XRAY        2.400    0.21    0.23
4Y9TA       346      XRAY        1.800    0.15    0.19
2GF4A       100      XRAY        2.070    0.23    0.24
5M26A       170      XRAY        1.900    0.16    0.21
2HIQA       113      XRAY        2.000    0.26    0.27
3M3HA       234      XRAY        1.750    0.18    0.22
5U5GA       295      XRAY        2.050    0.17    0.21
2QB7A       397      XRAY        1.600    0.17    0.20
6DT3A       144      XRAY        1.200    0.15    0.19
3AYHB       203      XRAY        2.190    0.19    0.24
3BGUA       116      XRAY        1.500    0.20    0.24
4G9EA       279      XRAY        1.090    0.15    0.15
5UPIA       753      XRAY        1.650    0.15    0.17
4LOAA       173      XRAY        1.820    0.20    0.24
4IRVE        62      XRAY        2.040    0.19    0.23
3ENUA       114      XRAY        1.860    0.18    0.22
2QSFA       533      XRAY        2.350    0.23    0.24
1L0SA        90      XRAY        2.300    0.23    0.26
3FOVA       134      XRAY        1.880    0.19    0.22
3QHEB        55      XRAY        2.400    0.19    0.23
1LZLA       323      XRAY        1.300    0.15    0.21
6AO8A       580      XRAY        1.700    0.16    0.18
5L9ZB        77      XRAY        1.570    0.17    0.19
2ABWA       227      XRAY        1.620    0.15    0.19
4YOMA       144      XRAY        2.490    0.20    0.24
3V2UC       520      XRAY        2.100    0.15    0.20
2QQYA       149      XRAY        2.000    0.20    0.24
2IXMA       303      XRAY        1.500    0.20    0.22
3V48A       268      XRAY        2.100    0.17    0.23
2YYYA       343      XRAY        1.850    0.17    0.20
4AQLA       476      XRAY        1.990    0.18    0.21
4OWFA        90      XRAY        2.000    0.26    0.31
1ZA0A       275      XRAY        2.000    0.21    0.24
6DT7A       269      XRAY        2.500    0.19    0.21
4MFIA       436      XRAY        1.500    0.14    0.16
3VOQA       125      XRAY        2.000    0.20    0.22
4G7NA       225      XRAY        2.300    0.19    0.26
5FIAA       402      XRAY        1.750    0.16    0.19
2DJFA       119      XRAY        2.000    0.16    0.20
3K9IA       117      XRAY        2.710    0.22    0.23
1FXKC       133      XRAY        2.300    0.22    0.27
1PPJG        81      XRAY        2.100    0.22    0.26
3D1PA       139      XRAY        0.980    0.11    0.12
2I10A       202      XRAY        2.050    0.21    0.24
5FLGA       260      XRAY        2.040    0.20    0.23
2J6LA       500      XRAY        1.300    0.14    0.19
4HDEA       170      XRAY        1.320    0.16    0.18
5KNHI       112      XRAY        1.600    0.17    0.20
1UIXA        71      XRAY        1.800    0.22    0.24
4CA1A       195      XRAY        1.580    0.14    0.19
3LRTA       286      XRAY        1.530    0.19    0.22
4GMQA       103      XRAY        1.300    0.15    0.19
2PAGA       135      XRAY        1.600    0.23    0.22
2QHPA       296      XRAY        1.800    0.17    0.21
5F0JA       462      XRAY        2.700    0.21    0.25
1FT5A       211      XRAY        1.600    0.19    0.21
4H0CA       210      XRAY        1.620    0.14    0.19
4E6FA       181      XRAY        1.490    0.16    0.18
5HHJA       305      XRAY        1.200    0.12    0.15
1U9PA       120      XRAY        1.900    0.25    0.30
5XHBA       229      XRAY        1.900    0.18    0.21
3LGBA       194      XRAY        1.540    0.15    0.16
4HIAA       176      XRAY        1.950    0.17    0.20
3ECFA       130      XRAY        1.900    0.18    0.22
4KMCA        80      XRAY        2.150    0.22    0.25
3SOYA       145      XRAY        2.000    0.18    0.22
1K77A       260      XRAY        1.630    0.20    0.21
6FC1B        64      XRAY        1.350    0.14    0.17
3M7NA       179      XRAY        2.400    0.27    0.26
3LOGA       451      XRAY        1.730    0.18    0.23
4XDNB       200      XRAY        2.080    0.19    0.21
4OW5A       370      XRAY        1.900    0.17    0.20
6FNYA       515      XRAY        2.790    0.21    0.25
2XHGA       466      XRAY        1.500    0.16    0.18
4UPIA       576      XRAY        1.250    0.14    0.16
6E2QM        83      XRAY        2.650    0.23    0.26
5OK6A       230      XRAY        1.300    0.16    0.18
3BMAA       407      XRAY        2.240    0.22    0.27
2XPWA       207      XRAY        1.440    0.18    0.20
5K1PA       274      XRAY        1.500    0.17    0.20
4MR0A       648      XRAY        1.950    0.22    0.22
3KXTA        56      XRAY        1.600    0.18    0.22
4UHVA       651      XRAY        2.000    0.23    0.25
2X4JA       137      XRAY        1.620    0.17    0.20
2R6VA       191      XRAY        1.250    0.13    0.15
4FYYB       153      XRAY        1.940    0.20    0.24
4HSUB       124      XRAY        1.990    0.20    0.23
2Z84A       218      XRAY        1.700    0.19    0.23
3WJ9A       412      XRAY        2.510    0.24    0.26
5XEFA       123      XRAY        2.000    0.20    0.23
5D6SA       399      XRAY        2.650    0.22    0.25
4TWKA       283      XRAY        2.600    0.23    0.26
5UTKA       304      XRAY        2.500    0.23    0.25
2VQPA       257      XRAY        1.600    0.18    0.22
5DGJA       188      XRAY        1.000    0.14    0.15
3Q6CA        83      XRAY        2.600    0.24    0.28
5YQ0A       326      XRAY        1.760    0.18    0.21
5CV0A       192      XRAY        1.900    0.19    0.23
4MAKA        94      XRAY        1.100    0.14    0.17
3S2JA       400      XRAY        1.300    0.17    0.18
5D9GA       246      XRAY        2.150    0.18    0.20
1LC0A       294      XRAY        1.200    0.22    0.23
5CO8A       464      XRAY        2.400    0.24    0.26
2FR5A       146      XRAY        1.480    0.17    0.19
2E2EA       177      XRAY        2.050    0.23    0.27
3CWFA       122      XRAY        2.200    0.20    0.24
4M91A       161      XRAY        1.100    0.14    0.16
4P3AA        79      XRAY        1.400    0.15    0.17
5HJ9A       330      XRAY        1.280    0.15    0.16
3TXSA        94      XRAY        1.810    0.19    0.22
5DJHA       288      XRAY        1.450    0.15    0.17
3D40A       286      XRAY        1.530    0.17    0.20
4S1PA       191      XRAY        1.450    0.12    0.16
4RDBA       305      XRAY        1.450    0.12    0.16
3W5FA       718      XRAY        1.650    0.13    0.18
5KVBA       156      XRAY        1.450    0.17    0.20
4XB6B       194      XRAY        1.700    0.15    0.18
6CGKA       216      XRAY        1.670    0.19    0.23
2VXTI       157      XRAY        1.490    0.16    0.20
4BWRA       467      XRAY        1.740    0.16    0.19
6CWXA       142      XRAY        2.250    0.21    0.23
5FFGB       257      XRAY        2.250    0.21    0.25
3V93A       345      XRAY        2.000    0.22    0.23
4FCGA       328      XRAY        2.000    0.17    0.23
5X4SA       285      XRAY        2.200    0.25    0.28
2P0BA       163      XRAY        1.740    0.16    0.19
5U2PA       428      XRAY        1.760    0.18    0.22
2IF6A       186      XRAY        1.800    0.18    0.23
4DMGA       393      XRAY        1.700    0.18    0.21
4C2FA       446      XRAY        2.400    0.21    0.27
4PE3A       345      XRAY        1.350    0.17    0.20
2HQXA       246      XRAY        1.420    0.23    0.27
1ZH8A       340      XRAY        2.500    0.20    0.24
2YVIA       111      XRAY        1.920    0.20    0.22
5EMBA       101      XRAY        0.850    0.12    0.14
3USHA       129      XRAY        1.690    0.17    0.19
1YTLA       174      XRAY        1.800    0.17    0.21
3QF7C        50      XRAY        1.900    0.16    0.19
3KGKA       110      XRAY        1.400    0.19    0.22
1WMIA        90      XRAY        2.300    0.23    0.28
4PT1A       131      XRAY        1.650    0.19    0.23
5DZOA       107      XRAY        1.300    0.16    0.18
3NO0A       276      XRAY        1.300    0.17    0.19
5I9EE        77      XRAY        2.800    0.23    0.28
5B6QA        76      XRAY        1.780    0.22    0.24
2HY5C       102      XRAY        1.720    0.20    0.21
6HCDA       155      XRAY        1.900    0.17    0.21
4X7GA       251      XRAY        1.220    0.18    0.20
4WT3A       213      XRAY        1.950    0.21    0.25
1B35C       282      XRAY        2.400    0.23    0.24
4CIHA       150      XRAY        2.220    0.28    0.31
3PWXA       239      XRAY        2.500    0.23    0.29
3ZIWA       286      XRAY        1.900    0.18    0.20
1G8MA       593      XRAY        1.750    0.20    0.22
3BXJA       483      XRAY        3.000    0.25    0.29
1V4AA       440      XRAY        2.000    0.23    0.27
4YTBA       432      XRAY        1.400    0.15    0.15
3NDZE       107      XRAY        2.080    0.15    0.19
4CSRA        94      XRAY        1.500    0.15    0.18
1KO7A       314      XRAY        1.950    0.23    0.25
6F45D       249      XRAY        1.700    0.15    0.18
4A1SC        40      XRAY        2.100    0.21    0.26
3R4VA       315      XRAY        1.670    0.19    0.23
2OOKA       127      XRAY        1.800    0.19    0.23
5FCNA        65      XRAY        1.800    0.22    0.24
5EP6A        47      XRAY        1.450    0.19    0.22
1Q5YA        85      XRAY        1.400    0.16    0.22
2GDQA       382      XRAY        1.800    0.20    0.25
2OD0A       105      XRAY        1.950    0.20    0.24
5L8SA       604      XRAY        2.500    0.21    0.25
4HZ4A       217      XRAY        1.620    0.14    0.19
5BYKA       259      XRAY        1.280    0.15    0.17
